season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries
2017,1082591,Sunrisers Hyderabad v Royal Challengers Bangalore,SRH v RCB,"1st match (N), Indian Premier League at Hyderabad (Deccan), Apr 5 2017",SRH,RCB,RCB,BOWL FIRST,207/4,172,207/4,172,SRH,Sunrisers won by 35 runs,2017-04-05T14:30Z,2017-04-07T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",David Warner,Shane Watson,Yuvraj Singh,"Sunrisers Hyderabad 2, Royal Challengers Bangalore 0",FALSE,20,207,4,26,19.4,172,10,23
2017,1082592,Rising Pune Supergiant v Mumbai Indians,RPS v MI,"2nd match (N), Indian Premier League at Pune, Apr 6 2017",RPS,MI,RPS,BOWL FIRST,184/8,187/3,187/3,184/8,RPS,Supergiant won by 7 wickets (with 1 ball remaining),2017-04-06T14:30Z,2017-04-08T23:59Z,545380,"Maharashtra Cricket Association Stadium, Pune",Steven Smith,Rohit Sharma,Steven Smith,"Rising Pune Supergiant 2, Mumbai Indians 0",FALSE,19.5,187,3,24,20,184,8,23
2017,1082593,Gujarat Lions v Kolkata Knight Riders,GL v KKR,"3rd match (N), Indian Premier League at Rajkot, Apr 7 2017",GL,KKR,KKR,BOWL FIRST,183/4,184/0,183/4,184/0,KKR,KKR won by 10 wickets (with 31 balls remaining),2017-04-07T14:30Z,2017-04-09T23:59Z,377285,"Saurashtra Cricket Association Stadium, Rajkot",Suresh Raina,Gautam Gambhir,Chris Lynn,"Kolkata Knight Riders 2, Gujarat Lions 0",FALSE,20,183,4,26,14.5,184,0,26
2017,1082594,Kings XI Punjab v Rising Pune Supergiant,PBKS v RPS,"4th match (D/N), Indian Premier League at Indore, Apr 8 2017",PBKS,RPS,PBKS,BOWL FIRST,163/6,164/4,164/4,163/6,PBKS,Kings XI won by 6 wickets (with 6 balls remaining),2017-04-08T10:30Z,2017-04-10T23:59Z,58150,"Holkar Cricket Stadium, Indore",Glenn Maxwell,Steven Smith,Glenn Maxwell,"Kings XI Punjab 2, Rising Pune Supergiant 0",FALSE,19,164,4,19,20,163,6,18
2017,1082595,Royal Challengers Bangalore v Delhi Daredevils,RCB v DC,"5th match (N), Indian Premier League at Bengaluru, Apr 8 2017",RCB,DC,RCB,BAT FIRST,157/8,142/9,157/8,142/9,RCB,RCB won by 15 runs,2017-04-08T14:30Z,2017-04-10T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Shane Watson,Zaheer Khan,Kedar Jadhav,"Royal Challengers Bangalore 2, Delhi Daredevils 0",FALSE,20,157,8,21,20,142,9,15
2017,1082596,Sunrisers Hyderabad v Gujarat Lions,SRH v GL,"6th match (D/N), Indian Premier League at Hyderabad (Deccan), Apr 9 2017",SRH,GL,SRH,BOWL FIRST,135/7,140/1,140/1,135/7,SRH,Sunrisers won by 9 wickets (with 27 balls remaining),2017-04-09T10:30Z,2017-04-11T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",David Warner,Suresh Raina,Rashid Khan,"Sunrisers Hyderabad 2, Gujarat Lions 0",FALSE,15.3,140,1,17,20,135,7,13
2017,1082597,Mumbai Indians v Kolkata Knight Riders,MI v KKR,"7th match (N), Indian Premier League at Mumbai, Apr 9 2017",MI,KKR,MI,BOWL FIRST,178/7,180/6,180/6,178/7,MI,Mum Indians won by 4 wickets (with 1 ball remaining),2017-04-09T14:30Z,2017-04-11T23:59Z,58324,"Wankhede Stadium, Mumbai",Rohit Sharma,Gautam Gambhir,Nitish Rana,"Mumbai Indians 2, Kolkata Knight Riders 0",FALSE,19.5,180,6,24,20,178,7,20
2017,1082598,Kings XI Punjab v Royal Challengers Bangalore,PBKS v RCB,"8th match (N), Indian Premier League at Indore, Apr 10 2017",PBKS,RCB,RCB,BAT FIRST,148/4,150/2,150/2,148/4,PBKS,Kings XI won by 8 wickets (with 33 balls remaining),2017-04-10T14:30Z,2017-04-12T23:59Z,58150,"Holkar Cricket Stadium, Indore",Glenn Maxwell,Shane Watson,Axar Patel,"Kings XI Punjab 2, Royal Challengers Bangalore 0",FALSE,14.3,150,2,20,20,148,4,17
2017,1082599,Rising Pune Supergiant v Delhi Daredevils,RPS v DC,"9th match (N), Indian Premier League at Pune, Apr 11 2017",RPS,DC,RPS,BOWL FIRST,205/4,108,108,205/4,DC,Daredevils won by 97 runs,2017-04-11T14:30Z,2017-04-13T23:59Z,545380,"Maharashtra Cricket Association Stadium, Pune",Ajinkya Rahane,Zaheer Khan,Sanju Samson,"Delhi Daredevils 2, Rising Pune Supergiant 0",FALSE,16.1,108,10,11,20,205,4,27
2017,1082600,Mumbai Indians v Sunrisers Hyderabad,MI v SRH,"10th match (N), Indian Premier League at Mumbai, Apr 12 2017",MI,SRH,MI,BOWL FIRST,158/8,159/6,159/6,158/8,MI,Mum Indians won by 4 wickets (with 8 balls remaining),2017-04-12T14:30Z,2017-04-14T23:59Z,58324,"Wankhede Stadium, Mumbai",Rohit Sharma,David Warner,Jasprit Bumrah,"Mumbai Indians 2, Sunrisers Hyderabad 0",FALSE,18.4,159,6,22,20,158,8,21
2017,1082601,Kolkata Knight Riders v Kings XI Punjab,KKR v PBKS,"11th match (N), Indian Premier League at Kolkata, Apr 13 2017",KKR,PBKS,KKR,BOWL FIRST,170/9,171/2,171/2,170/9,KKR,KKR won by 8 wickets (with 21 balls remaining),2017-04-13T14:30Z,2017-04-15T23:59Z,57980,"Eden Gardens, Kolkata",Gautam Gambhir,Glenn Maxwell,Sunil Narine,"Kolkata Knight Riders 2, Kings XI Punjab 0",FALSE,16.3,171,2,25,20,170,9,23
2017,1082602,Royal Challengers Bangalore v Mumbai Indians,RCB v MI,"12th match (D/N), Indian Premier League at Bengaluru, Apr 14 2017",RCB,MI,MI,BOWL FIRST,142/5,145/6,142/5,145/6,MI,Mum Indians won by 4 wickets (with 7 balls remaining),2017-04-14T10:30Z,2017-04-16T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,Rohit Sharma,Kieron Pollard,"Mumbai Indians 2, Royal Challengers Bangalore 0",FALSE,20,142,5,11,18.5,145,6,14
2017,1082603,Gujarat Lions v Rising Pune Supergiant,GL v RPS,"13th match (N), Indian Premier League at Rajkot, Apr 14 2017",GL,RPS,GL,BOWL FIRST,171/8,172/3,172/3,171/8,GL,Guj Lions won by 7 wickets (with 12 balls remaining),2017-04-14T14:30Z,2017-04-16T23:59Z,377285,"Saurashtra Cricket Association Stadium, Rajkot",Suresh Raina,Steven Smith,Andrew Tye,"Gujarat Lions 2, Rising Pune Supergiant 0",FALSE,18,172,3,27,20,171,8,21
2017,1082604,Kolkata Knight Riders v Sunrisers Hyderabad,KKR v SRH,"14th match (D/N), Indian Premier League at Kolkata, Apr 15 2017",KKR,SRH,SRH,BOWL FIRST,172/6,155/6,172/6,155/6,KKR,KKR won by 17 runs,2017-04-15T10:30Z,2017-04-17T23:59Z,57980,"Eden Gardens, Kolkata",Gautam Gambhir,David Warner,Robin Uthappa,"Kolkata Knight Riders 2, Sunrisers Hyderabad 0",FALSE,20,172,6,20,20,155,6,21
2017,1082605,Delhi Daredevils v Kings XI Punjab,DC v PBKS,"15th match (N), Indian Premier League at Delhi, Apr 15 2017",DC,PBKS,DC,BAT FIRST,188/6,137/9,188/6,137/9,DC,Daredevils won by 51 runs,2017-04-15T14:30Z,2017-04-17T23:59Z,58040,"Arun Jaitley Stadium, Delhi",Zaheer Khan,Glenn Maxwell,Corey Anderson,"Delhi Daredevils 2, Kings XI Punjab 0",FALSE,20,188,6,28,20,137,9,14
2017,1082606,Mumbai Indians v Gujarat Lions,MI v GL,"16th match (D/N), Indian Premier League at Mumbai, Apr 16 2017",MI,GL,MI,BOWL FIRST,176/4,177/4,177/4,176/4,MI,Mum Indians won by 6 wickets (with 3 balls remaining),2017-04-16T10:30Z,2017-04-18T23:59Z,58324,"Wankhede Stadium, Mumbai",Rohit Sharma,Suresh Raina,Nitish Rana,"Mumbai Indians 2, Gujarat Lions 0",FALSE,19.3,177,4,19,20,176,4,18
2017,1082607,Royal Challengers Bangalore v Rising Pune Supergiant,RCB v RPS,"17th match (N), Indian Premier League at Bengaluru, Apr 16 2017",RCB,RPS,RCB,BOWL FIRST,161/8,134/9,134/9,161/8,RPS,Supergiant won by 27 runs,2017-04-16T14:30Z,2017-04-18T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,Steven Smith,Ben Stokes,"Rising Pune Supergiant 2, Royal Challengers Bangalore 0",FALSE,20,134,9,12,20,161,8,21
2017,1082608,Delhi Daredevils v Kolkata Knight Riders,DC v KKR,"18th match (D/N), Indian Premier League at Delhi, Apr 17 2017",DC,KKR,DC,BAT FIRST,168/7,169/6,168/7,169/6,KKR,KKR won by 4 wickets (with 1 ball remaining),2017-04-17T10:30Z,2017-04-19T23:59Z,58040,"Arun Jaitley Stadium, Delhi",Zaheer Khan,Gautam Gambhir,Nathan Coulter-Nile,"Kolkata Knight Riders 2, Delhi Daredevils 0",FALSE,20,168,7,23,19.5,169,6,18
2017,1082609,Sunrisers Hyderabad v Kings XI Punjab,SRH v PBKS,"19th match (N), Indian Premier League at Hyderabad (Deccan), Apr 17 2017",SRH,PBKS,PBKS,BOWL FIRST,159/6,154,159/6,154,SRH,Sunrisers won by 5 runs,2017-04-17T14:30Z,2017-04-19T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",David Warner,Glenn Maxwell,Bhuvneshwar Kumar,"Sunrisers Hyderabad 2, Kings XI Punjab 0",FALSE,20,159,6,15,19.4,154,10,18
2017,1082610,Gujarat Lions v Royal Challengers Bangalore,GL v RCB,"20th match (N), Indian Premier League at Rajkot, Apr 18 2017",GL,RCB,GL,BOWL FIRST,213/2,192/7,192/7,213/2,RCB,RCB won by 21 runs,2017-04-18T14:30Z,2017-04-20T23:59Z,377285,"Saurashtra Cricket Association Stadium, Rajkot",Suresh Raina,Virat Kohli,Chris Gayle,"Royal Challengers Bangalore 2, Gujarat Lions 0",FALSE,20,192,7,24,20,213,2,30
2017,1082611,Sunrisers Hyderabad v Delhi Daredevils,SRH v DC,"21st match (N), Indian Premier League at Hyderabad (Deccan), Apr 19 2017",SRH,DC,SRH,BAT FIRST,191/4,176/5,191/4,176/5,SRH,Sunrisers won by 15 runs,2017-04-19T14:30Z,2017-04-21T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",David Warner,Zaheer Khan,Kane Williamson,"Sunrisers Hyderabad 2, Delhi Daredevils 0",FALSE,20,191,4,22,20,176,5,24
2017,1082612,Kings XI Punjab v Mumbai Indians,PBKS v MI,"22nd match (N), Indian Premier League at Indore, Apr 20 2017",PBKS,MI,MI,BOWL FIRST,198/4,199/2,198/4,199/2,MI,Mum Indians won by 8 wickets (with 27 balls remaining),2017-04-20T14:30Z,2017-04-22T23:59Z,58150,"Holkar Cricket Stadium, Indore",Glenn Maxwell,Rohit Sharma,Jos Buttler,"Mumbai Indians 2, Kings XI Punjab 0",FALSE,20,198,4,26,15.3,199,2,28
2017,1082613,Kolkata Knight Riders v Gujarat Lions,KKR v GL,"23rd match (N), Indian Premier League at Kolkata, Apr 21 2017",KKR,GL,GL,BOWL FIRST,187/5,188/6,187/5,188/6,GL,Guj Lions won by 4 wickets (with 10 balls remaining),2017-04-21T14:30Z,2017-04-23T23:59Z,57980,"Eden Gardens, Kolkata",Gautam Gambhir,Suresh Raina,Suresh Raina,"Gujarat Lions 2, Kolkata Knight Riders 0",FALSE,20,187,5,27,18.2,188,6,28
2017,1082614,Mumbai Indians v Delhi Daredevils,MI v DC,"25th match (N), Indian Premier League at Mumbai, Apr 22 2017",MI,DC,DC,BOWL FIRST,142/8,128/7,142/8,128/7,MI,Mum Indians won by 14 runs,2017-04-22T14:30Z,2017-04-24T23:59Z,58324,"Wankhede Stadium, Mumbai",Rohit Sharma,Zaheer Khan,Mitchell McClenaghan,"Mumbai Indians 2, Delhi Daredevils 0",FALSE,20,142,8,15,20,128,7,14
2017,1082615,Rising Pune Supergiant v Sunrisers Hyderabad,RPS v SRH,"24th match (D/N), Indian Premier League at Pune, Apr 22 2017",RPS,SRH,RPS,BOWL FIRST,176/3,179/4,179/4,176/3,RPS,Supergiant won by 6 wickets (with 0 balls remaining),2017-04-22T10:30Z,2017-04-24T23:59Z,545380,"Maharashtra Cricket Association Stadium, Pune",Steven Smith,David Warner,MS Dhoni,"Rising Pune Supergiant 2, Sunrisers Hyderabad 0",FALSE,20,179,4,24,20,176,3,22
2017,1082616,Gujarat Lions v Kings XI Punjab,GL v PBKS,"26th match (D/N), Indian Premier League at Rajkot, Apr 23 2017",GL,PBKS,GL,BOWL FIRST,188/7,162/7,162/7,188/7,PBKS,Kings XI won by 26 runs,2017-04-23T10:30Z,2017-04-25T23:59Z,377285,"Saurashtra Cricket Association Stadium, Rajkot",Suresh Raina,Glenn Maxwell,Hashim Amla,"Kings XI Punjab 2, Gujarat Lions 0",FALSE,20,162,7,18,20,188,7,26
2017,1082617,Kolkata Knight Riders v Royal Challengers Bangalore,KKR v RCB,"27th match (N), Indian Premier League at Kolkata, Apr 23 2017",KKR,RCB,RCB,BOWL FIRST,131,49,131,49,KKR,KKR won by 82 runs,2017-04-23T14:30Z,2017-04-25T23:59Z,57980,"Eden Gardens, Kolkata",Gautam Gambhir,Virat Kohli,Nathan Coulter-Nile,"Kolkata Knight Riders 2, Royal Challengers Bangalore 0",FALSE,19.3,131,10,16,9.4,49,10,8
2017,1082618,Mumbai Indians v Rising Pune Supergiant,MI v RPS,"28th match (N), Indian Premier League at Mumbai, Apr 24 2017",MI,RPS,MI,BOWL FIRST,160/6,157/8,157/8,160/6,RPS,Supergiant won by 3 runs,2017-04-24T14:30Z,2017-04-26T23:59Z,58324,"Wankhede Stadium, Mumbai",Rohit Sharma,Steven Smith,Ben Stokes,"Rising Pune Supergiant 2, Mumbai Indians 0",FALSE,20,157,8,21,20,160,6,20
2017,1082619,Royal Challengers Bangalore v Sunrisers Hyderabad,RCB v SRH,"29th match (N), Indian Premier League at Bengaluru, Apr 25 2017",RCB,SRH,no toss,no toss,,,,,No Result,Match abandoned without a ball bowled,2017-04-25T14:30Z,2017-04-27T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,David Warner,None,"Royal Challengers Bangalore 1, Sunrisers Hyderabad 1",FALSE,,,,,,,,
2017,1082620,Rising Pune Supergiant v Kolkata Knight Riders,RPS v KKR,"30th match (N), Indian Premier League at Pune, Apr 26 2017",RPS,KKR,KKR,BOWL FIRST,182/5,184/3,182/5,184/3,KKR,KKR won by 7 wickets (with 11 balls remaining),2017-04-26T14:30Z,2017-04-28T23:59Z,545380,"Maharashtra Cricket Association Stadium, Pune",Steven Smith,Gautam Gambhir,Robin Uthappa,"Kolkata Knight Riders 2, Rising Pune Supergiant 0",FALSE,20,182,5,22,18.1,184,3,24
2017,1082621,Royal Challengers Bangalore v Gujarat Lions,RCB v GL,"31st match (N), Indian Premier League at Bengaluru, Apr 27 2017",RCB,GL,GL,BOWL FIRST,134,135/3,134,135/3,GL,Guj Lions won by 7 wickets (with 37 balls remaining),2017-04-27T14:30Z,2017-04-29T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,Suresh Raina,Andrew Tye,"Gujarat Lions 2, Royal Challengers Bangalore 0",FALSE,20,134,10,13,13.5,135,3,20
2017,1082622,Kolkata Knight Riders v Delhi Daredevils,KKR v DC,"32nd match (D/N), Indian Premier League at Kolkata, Apr 28 2017",KKR,DC,KKR,BOWL FIRST,160/6,161/3,161/3,160/6,KKR,KKR won by 7 wickets (with 22 balls remaining),2017-04-28T10:30Z,2017-04-30T23:59Z,57980,"Eden Gardens, Kolkata",Gautam Gambhir,Zaheer Khan,Gautam Gambhir,"Kolkata Knight Riders 2, Delhi Daredevils 0",FALSE,16.2,161,3,24,20,160,6,18
2017,1082623,Kings XI Punjab v Sunrisers Hyderabad,PBKS v SRH,"33rd match (N), Indian Premier League at Mohali, Apr 28 2017",PBKS,SRH,PBKS,BOWL FIRST,207/3,181/9,181/9,207/3,SRH,Sunrisers won by 26 runs,2017-04-28T14:30Z,2017-04-30T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Glenn Maxwell,David Warner,Rashid Khan,"Sunrisers Hyderabad 2, Kings XI Punjab 0",FALSE,20,181,9,29,20,207,3,26
2017,1082624,Rising Pune Supergiant v Royal Challengers Bangalore,RPS v RCB,"34th match (D/N), Indian Premier League at Pune, Apr 29 2017",RPS,RCB,RCB,BOWL FIRST,157/3,96/9,157/3,96/9,RPS,Supergiant won by 61 runs,2017-04-29T10:30Z,2017-05-01T23:59Z,545380,"Maharashtra Cricket Association Stadium, Pune",Steven Smith,Virat Kohli,Lockie Ferguson,"Rising Pune Supergiant 2, Royal Challengers Bangalore 0",FALSE,20,157,3,18,20,96,9,7
2017,1082625,Gujarat Lions v Mumbai Indians,GL v MI,"35th match (N), Indian Premier League at Rajkot, Apr 29 2017",GL,MI,GL,BAT FIRST,153/9,153,153/9,153,MI,Match tied (Mumbai Indians won the one-over eliminator),2017-04-29T14:30Z,2017-05-01T23:59Z,377285,"Saurashtra Cricket Association Stadium, Rajkot",Suresh Raina,Rohit Sharma,Krunal Pandya,"Mumbai Indians 2, Gujarat Lions 0",TRUE,20,153,9,19,20,153,10,19
2017,1082626,Kings XI Punjab v Delhi Daredevils,PBKS v DC,"36th match (D/N), Indian Premier League at Mohali, Apr 30 2017",PBKS,DC,PBKS,BOWL FIRST,67,68/0,68/0,67,PBKS,Kings XI won by 10 wickets (with 73 balls remaining),2017-04-30T10:30Z,2017-05-02T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Glenn Maxwell,Karun Nair,Sandeep Sharma,"Kings XI Punjab 2, Delhi Daredevils 0",FALSE,7.5,68,0,10,17.1,67,10,5
2017,1082627,Sunrisers Hyderabad v Kolkata Knight Riders,SRH v KKR,"37th match (N), Indian Premier League at Hyderabad (Deccan), Apr 30 2017",SRH,KKR,KKR,BOWL FIRST,209/3,161/7,209/3,161/7,SRH,Sunrisers won by 48 runs,2017-04-30T14:30Z,2017-05-02T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",David Warner,Gautam Gambhir,David Warner,"Sunrisers Hyderabad 2, Kolkata Knight Riders 0",FALSE,20,209,3,26,20,161,7,17
2017,1082628,Mumbai Indians v Royal Challengers Bangalore,MI v RCB,"38th match (D/N), Indian Premier League at Mumbai, May 1 2017",MI,RCB,RCB,BAT FIRST,162/8,165/5,165/5,162/8,MI,Mum Indians won by 5 wickets (with 1 ball remaining),2017-05-01T10:30Z,2017-05-03T23:59Z,58324,"Wankhede Stadium, Mumbai",Rohit Sharma,Virat Kohli,Rohit Sharma,"Mumbai Indians 2, Royal Challengers Bangalore 0",FALSE,19.5,165,5,20,20,162,8,18
2017,1082629,Rising Pune Supergiant v Gujarat Lions,RPS v GL,"39th match (N), Indian Premier League at Pune, May 1 2017",RPS,GL,RPS,BOWL FIRST,161,167/5,167/5,161,RPS,Supergiant won by 5 wickets (with 1 ball remaining),2017-05-01T14:30Z,2017-05-03T23:59Z,545380,"Maharashtra Cricket Association Stadium, Pune",Steven Smith,Suresh Raina,Ben Stokes,"Rising Pune Supergiant 2, Gujarat Lions 0",FALSE,19.5,167,5,20,19.5,161,10,20
2017,1082630,Delhi Daredevils v Sunrisers Hyderabad,DC v SRH,"40th match (N), Indian Premier League at Delhi, May 2 2017",DC,SRH,DC,BOWL FIRST,185/3,189/4,189/4,185/3,DC,Daredevils won by 6 wickets (with 5 balls remaining),2017-05-02T14:30Z,2017-05-04T23:59Z,58040,"Arun Jaitley Stadium, Delhi",Karun Nair,David Warner,Mohammed Shami,"Delhi Daredevils 2, Sunrisers Hyderabad 0",FALSE,19.1,189,4,25,20,185,3,26
2017,1082631,Kolkata Knight Riders v Rising Pune Supergiant,KKR v RPS,"41st match (N), Indian Premier League at Kolkata, May 3 2017",KKR,RPS,RPS,BOWL FIRST,155/8,158/6,155/8,158/6,RPS,Supergiant won by 4 wickets (with 4 balls remaining),2017-05-03T14:30Z,2017-05-05T23:59Z,57980,"Eden Gardens, Kolkata",Gautam Gambhir,Steven Smith,Rahul Tripathi,"Rising Pune Supergiant 2, Kolkata Knight Riders 0",FALSE,20,155,8,21,19.2,158,6,22
2017,1082632,Delhi Daredevils v Gujarat Lions,DC v GL,"42nd match (N), Indian Premier League at Delhi, May 4 2017",DC,GL,DC,BOWL FIRST,208/7,214/3,214/3,208/7,DC,Daredevils won by 7 wickets (with 15 balls remaining),2017-05-04T14:30Z,2017-05-06T23:59Z,58040,"Arun Jaitley Stadium, Delhi",Karun Nair,Suresh Raina,Rishabh Pant,"Delhi Daredevils 2, Gujarat Lions 0",FALSE,17.3,214,3,28,20,208,7,27
2017,1082633,Royal Challengers Bangalore v Kings XI Punjab,RCB v PBKS,"43rd match (N), Indian Premier League at Bengaluru, May 5 2017",RCB,PBKS,RCB,BOWL FIRST,138/7,119,119,138/7,PBKS,Kings XI won by 19 runs,2017-05-05T14:30Z,2017-05-07T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,Glenn Maxwell,Sandeep Sharma,"Kings XI Punjab 2, Royal Challengers Bangalore 0",FALSE,19,119,10,13,20,138,7,14
2017,1082634,Sunrisers Hyderabad v Rising Pune Supergiant,SRH v RPS,"44th match (D/N), Indian Premier League at Hyderabad (Deccan), May 6 2017",SRH,RPS,SRH,BOWL FIRST,148/8,136/9,136/9,148/8,RPS,Supergiant won by 12 runs,2017-05-06T10:30Z,2017-05-08T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",David Warner,Steven Smith,Jaydev Unadkat,"Rising Pune Supergiant 2, Sunrisers Hyderabad 0",FALSE,20,136,9,16,20,148,8,11
2017,1082635,Delhi Daredevils v Mumbai Indians,DC v MI,"45th match (N), Indian Premier League at Delhi, May 6 2017",DC,MI,DC,BOWL FIRST,212/3,66,66,212/3,MI,Mum Indians won by 146 runs,2017-05-06T14:30Z,2017-05-08T23:59Z,58040,"Arun Jaitley Stadium, Delhi",Zaheer Khan,Rohit Sharma,Lendl Simmons,"Mumbai Indians 2, Delhi Daredevils 0",FALSE,13.4,66,10,8,20,212,3,26
2017,1082636,Royal Challengers Bangalore v Kolkata Knight Riders,RCB v KKR,"46th match (D/N), Indian Premier League at Bengaluru, May 7 2017",RCB,KKR,KKR,BOWL FIRST,158/6,159/4,158/6,159/4,KKR,KKR won by 6 wickets (with 29 balls remaining),2017-05-07T10:30Z,2017-05-09T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Virat Kohli,Gautam Gambhir,Sunil Narine,"Kolkata Knight Riders 2, Royal Challengers Bangalore 0",FALSE,20,158,6,17,15.1,159,4,22
2017,1082637,Kings XI Punjab v Gujarat Lions,PBKS v GL,"47th match (N), Indian Premier League at Mohali, May 7 2017",PBKS,GL,GL,BOWL FIRST,189/3,192/4,189/3,192/4,GL,Guj Lions won by 6 wickets (with 2 balls remaining),2017-05-07T14:30Z,2017-05-09T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Glenn Maxwell,Suresh Raina,Dwayne Smith,"Gujarat Lions 2, Kings XI Punjab 0",FALSE,20,189,3,21,19.4,192,4,23
2017,1082638,Sunrisers Hyderabad v Mumbai Indians,SRH v MI,"48th match (N), Indian Premier League at Hyderabad (Deccan), May 8 2017",SRH,MI,MI,BAT FIRST,138/7,140/3,140/3,138/7,SRH,Sunrisers won by 7 wickets (with 10 balls remaining),2017-05-08T14:30Z,2017-05-10T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",David Warner,Rohit Sharma,Shikhar Dhawan,"Sunrisers Hyderabad 2, Mumbai Indians 0",FALSE,18.2,140,3,15,20,138,7,13
2017,1082639,Kings XI Punjab v Kolkata Knight Riders,PBKS v KKR,"49th match (N), Indian Premier League at Mohali, May 9 2017",PBKS,KKR,KKR,BOWL FIRST,167/6,153/6,167/6,153/6,PBKS,Kings XI won by 14 runs,2017-05-09T14:30Z,2017-05-11T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Glenn Maxwell,Gautam Gambhir,Mohit Sharma,"Kings XI Punjab 2, Kolkata Knight Riders 0",FALSE,20,167,6,18,20,153,6,18
2017,1082640,Gujarat Lions v Delhi Daredevils,GL v DC,"50th match (N), Indian Premier League at Kanpur, May 10 2017",GL,DC,DC,BOWL FIRST,195/5,197/8,195/5,197/8,DC,Daredevils won by 2 wickets (with 2 balls remaining),2017-05-10T14:30Z,2017-05-12T23:59Z,58204,"Green Park, Kanpur",Suresh Raina,Zaheer Khan,Shreyas Iyer,"Delhi Daredevils 2, Gujarat Lions 0",FALSE,20,195,5,26,19.4,197,8,35
2017,1082641,Mumbai Indians v Kings XI Punjab,MI v PBKS,"51st match (N), Indian Premier League at Mumbai, May 11 2017",MI,PBKS,MI,BOWL FIRST,230/3,223/6,223/6,230/3,PBKS,Kings XI won by 7 runs,2017-05-11T14:30Z,2017-05-13T23:59Z,58324,"Wankhede Stadium, Mumbai",Rohit Sharma,Glenn Maxwell,Wriddhiman Saha,"Kings XI Punjab 2, Mumbai Indians 0",FALSE,20,223,6,32,20,230,3,30
2017,1082642,Delhi Daredevils v Rising Pune Supergiant,DC v RPS,"52nd match (N), Indian Premier League at Delhi, May 12 2017",DC,RPS,DC,BAT FIRST,168/8,161/7,168/8,161/7,DC,Daredevils won by 7 runs,2017-05-12T14:30Z,2017-05-14T23:59Z,58040,"Arun Jaitley Stadium, Delhi",Zaheer Khan,Steven Smith,Karun Nair,"Delhi Daredevils 2, Rising Pune Supergiant 0",FALSE,20,168,8,20,20,161,7,19
2017,1082643,Gujarat Lions v Sunrisers Hyderabad,GL v SRH,"53rd match (D/N), Indian Premier League at Kanpur, May 13 2017",GL,SRH,SRH,BOWL FIRST,154,158/2,154,158/2,SRH,Sunrisers won by 8 wickets (with 11 balls remaining),2017-05-13T10:30Z,2017-05-15T23:59Z,58204,"Green Park, Kanpur",Suresh Raina,David Warner,Mohammed Siraj,"Sunrisers Hyderabad 2, Gujarat Lions 0",FALSE,19.2,154,10,21,18.1,158,2,23
2017,1082644,Kolkata Knight Riders v Mumbai Indians,KKR v MI,"54th match (N), Indian Premier League at Kolkata, May 13 2017",KKR,MI,KKR,BOWL FIRST,173/5,164/8,164/8,173/5,MI,Mum Indians won by 9 runs,2017-05-13T14:30Z,2017-05-15T23:59Z,57980,"Eden Gardens, Kolkata",Gautam Gambhir,Rohit Sharma,Ambati Rayudu,"Mumbai Indians 2, Kolkata Knight Riders 0",FALSE,20,164,8,21,20,173,5,24
2017,1082645,Rising Pune Supergiant v Kings XI Punjab,RPS v PBKS,"55th match (D/N), Indian Premier League at Pune, May 14 2017",RPS,PBKS,RPS,BOWL FIRST,73,78/1,78/1,73,RPS,Supergiant won by 9 wickets (with 48 balls remaining),2017-05-14T10:30Z,2017-05-16T23:59Z,545380,"Maharashtra Cricket Association Stadium, Pune",Steven Smith,Glenn Maxwell,Jaydev Unadkat,"Rising Pune Supergiant 2, Kings XI Punjab 0",FALSE,12,78,1,7,15.5,73,10,7
